id_,date,week,business_distinct_code,business_area_code,business_area_name,store_name,address,lng,lat,type
ChIJsWzPYvuefDURZpZgXUA5UBk,2019-12-5,1,R,1001430,영등포전통시장,캘빈클라인 진 신세계백화점 영등포점,"434-5 신세계백화점 영등포점 지하2층, Yeongdeungpo-gu",126.905617,37.517151,establishment
ChIJS8EhouKefDURRjk3s-98OSA,2019-12-5,1,R,1001430,영등포전통시장,하이모 영등포지점,"194 Yeongdeungpo-ro, Yeongdeungpo-gu",126.9029341,37.5199778,hair_care
ChIJS8EhouKefDURRjk3s-98OSA,2019-12-5,1,R,1001430,영등포전통시장,하이모 영등포지점,"194 Yeongdeungpo-ro, Yeongdeungpo-gu",126.9029341,37.5199778,point_of_interest
ChIJS8EhouKefDURRjk3s-98OSA,2019-12-5,1,R,1001430,영등포전통시장,하이모 영등포지점,"194 Yeongdeungpo-ro, Yeongdeungpo-gu",126.9029341,37.5199778,store
ChIJS8EhouKefDURRjk3s-98OSA,2019-12-5,1,R,1001430,영등포전통시장,하이모 영등포지점,"194 Yeongdeungpo-ro, Yeongdeungpo-gu",126.9029341,37.5199778,establishment
ChIJqV1GXvyefDURxZQlblBCagk,2019-12-5,1,R,1001430,영등포전통시장,고려당 롯데영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9071723,37.5157897,bakery
ChIJqV1GXvyefDURxZQlblBCagk,2019-12-5,1,R,1001430,영등포전통시장,고려당 롯데영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9071723,37.5157897,food
ChIJqV1GXvyefDURxZQlblBCagk,2019-12-5,1,R,1001430,영등포전통시장,고려당 롯데영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9071723,37.5157897,point_of_interest
ChIJqV1GXvyefDURxZQlblBCagk,2019-12-5,1,R,1001430,영등포전통시장,고려당 롯데영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9071723,37.5157897,store
ChIJqV1GXvyefDURxZQlblBCagk,2019-12-5,1,R,1001430,영등포전통시장,고려당 롯데영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9071723,37.5157897,establishment
ChIJt0BDX_yefDUR_faHUc4ys8E,2019-12-5,1,R,1001430,영등포전통시장,베스띠벨리롯데영등포점,"618-496 Yeongdeungpo-dong, Yeongdeungpo-gu",126.9066823,37.5154709,clothing_store
