id_,date,week,hour,store_name,current_popular,business_distinct_code,business_area_code
ChIJZdtYZuujfDUROXiByn4g4Vs,2019-12-5,1,23:00:00,Dore Dore,0,D,1001135
ChIJXYdUyJSjfDURgbPQbtuXw0s,2019-12-5,1,23:00:00,Zara Home,0,D,1001135
ChIJy_UUQJKjfDURwYrmugi66j8,2019-12-5,1,23:00:00,스타벅스 압구정미소점,0,D,1001135
ChIJ6bTEzqqmfDURdJVs40gCo2c,2019-12-5,1,23:00:00,Filter Space in Seoul Dr Jart Flagship Store,0,D,1001135
ChIJcRJqmuyjfDURC9ndoyDK45g,2019-12-5,1,23:00:00,BASSANG(바생),5,D,1001135
ChIJxxKZGO2jfDURMP_ts7sVWYs,2019-12-5,1,23:00:00,"Volvo Exhibition Centre (Shinsa, Gangnam branch)",0,D,1001135
ChIJJy4X4ZKjfDURbZYs59OA45g,2019-12-5,1,23:00:00,Aleutti,5,D,1001135
ChIJubri4JKjfDURMVzK-Svazc8,2019-12-5,1,23:00:00,Yulitta,5,D,1001135
ChIJoVkidpSifDURz7dskBGDoeg,2019-12-5,1,23:00:00,B. Patisserie,0,D,1001135
ChIJDVtdCnmkfDUROtns_WAdMt4,2019-12-5,1,23:00:00,메이앤리,0,D,1001138
ChIJwzk6d3mkfDURL1tTQIKSybk,2019-12-5,1,23:00:00,Suitsupply Seoul,0,D,1001138
ChIJ682M83ekfDURoIxAwbdHIO8,2019-12-5,1,23:00:00,Resolver Cigar Bar & Cigar Shop,0,D,1001138
ChIJ2ZZV03ukfDUR57MtlSCJIdQ,2019-12-5,1,23:00:00,브라이덜 공/bridalkong,0,D,1001138
ChIJnah07nekfDUR0iSXqAn5Eho,2019-12-5,1,23:00:00,GUILLAUME,0,D,1001138
ChIJn17RU3ikfDUR0MFP_wFFHx0,2019-12-5,1,23:00:00,CHROME HEARTS,0,D,1001138
ChIJZUjBYHmkfDURoL38ntzcqt4,2019-12-5,1,23:00:00,Casa del Vino,0,D,1001138
ChIJz-cz73mkfDUR-o5tB9xl0V8,2019-12-5,1,23:00:00,메종레브,0,D,1001138
ChIJzRPM_4ujfDURn9FzCGO9k_c,2019-12-5,1,23:00:00,마이도우터스웨딩,0,D,1001138
ChIJeYR2dnmkfDURLbMixPu6zoE,2019-12-5,1,23:00:00,Bape Chungdam,0,D,1001138
ChIJrccHecGffDURcpX2CGDHtOs,2019-12-5,1,23:00:00,AGGUN(에이지건),0,D,1001139
ChIJ1VSV-I2jfDUR9ChvyDg94e4,2019-12-5,1,23:00:00,A Twosome Place,0,D,1001140
ChIJzR4reZKjfDURKLmL8RXVM2o,2019-12-5,1,23:00:00,Pillaseu,4,D,1001140
ChIJt7pea46jfDUR25OrqUf9Y_U,2019-12-5,1,23:00:00,Cafe Marie,0,D,1001140
ChIJ0-ECQI6jfDURhTDwEBjAofY,2019-12-5,1,23:00:00,규중칠우,4,D,1001140
ChIJZ4hgfJKjfDURNV4qsgp7CK8,2019-12-5,1,23:00:00,Mongdeudeu,4,D,1001140
ChIJd4StpwyjfDURhzHTrWv1qXQ,2019-12-5,1,23:00:00,Blue Bottle Coffee Apgujeong Cafe,0,D,1001140
ChIJBxOsvrmjfDURxcm51xO1BaY,2019-12-5,1,23:00:00,公主韓服,0,D,1001236
ChIJUeNPesSifDUR2kp3ulq1tNE,2019-12-5,1,23:00:00,알이토프(Retoffe),0,D,1001236
ChIJESKZse67fDURY7U2d7H-4dU,2019-12-5,1,23:00:00,베네피트롯데백화점청량리점,0,D,1001238
ChIJcUwUBFu7fDURJykB9SuDeZI,2019-12-5,1,23:00:00,미니골드 롯데백화점 청량리점,0,D,1001238
ChIJ_QUPTVq7fDUR-YEMeI3FNQk,2019-12-5,1,23:00:00,압소바 롯데청량리점,0,D,1001238
ChIJxSfBCFu7fDURtTW3hn268Ss,2019-12-5,1,23:00:00,Toys R Us,5,D,1001238
ChIJtf1Mj7q7fDURMvHEXlkz5es,2019-12-5,1,23:00:00,르꼬끄골프 롯데백화점 청량리,0,D,1001238
ChIJc47RPFq7fDUR7qDEhZuNk1w,2019-12-5,1,23:00:00,Lotte Department store at Cheongnyangni,0,D,1001238
ChIJ8Wi18Vm7fDUR4EygKlYSfLQ,2019-12-5,1,23:00:00,다이소 청량리점 ダイソー daiso,0,D,1001238
ChIJG5gDtB27fDUR5z0TY1AU_qM,2019-12-5,1,23:00:00,데상트골프 롯데청량리(Descente golf),0,D,1001238
ChIJf1fgnye7fDURKblpad1yNnU,2019-12-5,1,23:00:00,Patgodang,0,D,1001238
ChIJq83hrlu7fDURSfq39HCXfII,2019-12-5,1,23:00:00,Kyobo Book Center Cheongryangri right Dream Center,0,D,1001238
ChIJZfglU0G7fDURRkphBYPVMi8,2019-12-5,1,23:00:00,Lotte Mart Cheongnyangni,0,D,1001238
ChIJKbFYkhKZfDURYUQGIbXFNuo,2019-12-5,1,23:00:00,투썸상암E&M센터점,0,D,1001239
ChIJScl5hRKZfDURaxCiL03Vv1k,2019-12-5,1,23:00:00,MYCT CJ E&M CENTER,0,D,1001239
ChIJt4M3uHKZfDURnN-awwM3N_M,2019-12-5,1,23:00:00,Starbucks,0,D,1001239
ChIJhy-iiyyjfDURdMJDQG5ZIkc,2019-12-5,1,23:00:00,10x10,0,D,1001240
ChIJDZ24wa2jfDURIsfYEBcONpU,2019-12-5,1,23:00:00,어쩌다 산책,0,D,1001240
ChIJBV9ehYejfDURa9MqsberpMo,2019-12-5,1,23:00:00,Cofioca,0,D,1001141
