id_,date,week,business_distinct_code,business_area_code,rating,rating_n,timespent_min,timespent_max
ChIJScl5hRKZfDURaxCiL03Vv1k,2019-12-5,1,D,1001239,4.0,71,20,120
ChIJt4M3uHKZfDURnN-awwM3N_M,2019-12-5,1,D,1001239,4.1,493,0,0
ChIJhy-iiyyjfDURdMJDQG5ZIkc,2019-12-5,1,D,1001240,4.1,89,0,0
ChIJDZ24wa2jfDURIsfYEBcONpU,2019-12-5,1,D,1001240,4.4,65,120,120
ChIJBV9ehYejfDURa9MqsberpMo,2019-12-5,1,D,1001141,4.4,127,20,60
ChIJky1utmmkfDURnOBn3K9G-rA,2019-12-5,1,D,1001141,4.0,31,45,120
ChIJreJhZYijfDURzYxyKUwGTJQ,2019-12-5,1,D,1001141,4.6,5,0,0
ChIJ6RTvJIajfDURrn8FH_PXNgA,2019-12-5,1,D,1001141,5.0,114,0,0
ChIJ-yiwZ-ijfDUR9ip-SA2XrjI,2019-12-5,1,D,1001141,4.9,158,0,0
ChIJF2lluIejfDURVdkKFutRd_0,2019-12-5,1,D,1001141,4.2,41,15,45
ChIJ1cObioejfDUR39hN4b5mw28,2019-12-5,1,D,1001141,4.3,69,25,60
ChIJJcn0voijfDURGpMHrLRZDV0,2019-12-5,1,D,1001141,3.9,56,15,45
ChIJfXAjm4ejfDURO9ZHyfTF3S0,2019-12-5,1,D,1001141,3.9,85,0,0
ChIJHd_53IejfDURSrLbv9imJ0w,2019-12-5,1,D,1001141,4.3,43,20,45
ChIJT4ZSZXikfDURMa74CahMtrE,2019-12-5,1,D,1001141,3.6,20,0,0
ChIJXSCIOoajfDURWoj4azH8PHo,2019-12-5,1,D,1001141,4.2,68,15,60
ChIJEWGVt-6efDUR7-0S6-92X-8,2019-12-5,1,D,1001142,4.4,69,0,0
ChIJl_gQmhmifDUR5m3VgPeE6wI,2019-12-5,1,D,1001143,4.6,27,0,0
ChIJkYxie8GjfDURXUvkx8bQAUI,2019-12-5,1,D,1001143,4.2,308,0,0
ChIJ-bOUslSjfDURz7ohCpYJ3VY,2019-12-5,1,D,1001146,4.5,28,0,0
ChIJRcgKHhqjfDURHWLvVVcbdmQ,2019-12-5,1,D,1001146,4.5,669,60,120
ChIJEdQ5cjaifDURNWyngSPZToU,2019-12-5,1,D,1001146,4.5,669,60,120
ChIJVXakCEqifDURPTMVvLBDWH4,2019-12-5,1,D,1001146,4.3,43,0,0
ChIJ6fRLETaifDURUq4WCgQ4_IY,2019-12-5,1,D,1001146,4.5,669,60,120
ChIJB7VVIzaifDURQ_y3TfOKFdw,2019-12-5,1,D,1001146,4.0,1114,25,90
ChIJbQMNFzaifDURimOfW59uj3k,2019-12-5,1,D,1001146,4.5,669,60,120
ChIJz4aszbCjfDURMBTLMXNaJIs,2019-12-5,1,D,1001149,4.0,114,15,15
ChIJb97eQCqjfDURA_ZHxAzxHCw,2019-12-5,1,D,1001241,4.1,309,30,30
ChIJJTxmOyqjfDUR2kfTyv8yr0I,2019-12-5,1,D,1001242,4.2,840,60,60
ChIJzYVakSujfDURZcV4WfInlIE,2019-12-5,1,D,1001242,4.0,192,60,180
ChIJEa5Gi0C7fDURY5dyBbDU6Po,2019-12-5,1,D,1001244,4.2,46,20,60
ChIJSQ_pROGifDURLE8soyL4ZIM,2019-12-5,1,D,1001204,3.7,183,20,60
ChIJLRiE_eOifDUR2xVRGH8DrA0,2019-12-5,1,D,1001204,4.8,4,0,0
ChIJd3vXfP-vfDUR9DoLsYQL658,2019-12-5,1,D,1001157,3.7,1344,20,60
ChIJaUNnZEqifDURDHPzYZnM1fE,2019-12-5,1,D,1001150,4.3,343,45,90
ChIJxcB9QkqifDURIzHQPQlxnX4,2019-12-5,1,D,1001150,4.1,89,30,60
ChIJu2Z3JEqifDURp1fcG9iChRY,2019-12-5,1,D,1001150,4.4,123,90,180
ChIJn-8jV0qifDURbUHEp_toTWA,2019-12-5,1,D,1001150,4.1,22,0,0
ChIJ9xEt5kqifDURgrJNFjgfOI8,2019-12-5,1,D,1001150,4.2,85,0,0
ChIJTRQG-m6jfDURxVdsfmN5jWU,2019-12-5,1,D,1001150,4.8,82,90,150
ChIJeRTqLR6jfDURzvokQe_3TjI,2019-12-5,1,D,1001150,4.5,2226,25,60
ChIJP7fxXkqifDUR9M8il-HSrgk,2019-12-5,1,D,1001150,4.0,87,0,0
ChIJ-W6udMOefDUR_VyJbcX_Svw,2019-12-5,1,D,1001153,4.3,19,30,90
ChIJY9usQwWifDUR4xtHwAeZbVo,2019-12-5,1,D,1001155,4.5,495,15,15
ChIJS7K4CP-vfDURAxoqoW6aYS4,2019-12-5,1,D,1001156,4.5,278,30,30
ChIJI7R2AY2jfDURne7hkW687FM,2019-12-5,1,D,1001120,4.3,29,0,0
ChIJD2nJEY2jfDURk1ykEj1qJ2I,2019-12-5,1,D,1001120,4.2,64,30,60
ChIJKYHZ_F-jfDUR_40VICw04tQ,2019-12-5,1,D,1001120,4.7,15,30,120
ChIJfzajpe2ifDURYWKnoGMYY24,2019-12-5,1,D,1001209,4.0,612,0,0
ChIJA7c8JWKjfDUR206Y5h70iXw,2019-12-5,1,D,1001210,4.2,60,0,0
ChIJsU_2tjyjfDURAqCUytJngrQ,2019-12-5,1,D,1001211,3.7,1370,45,120
ChIJ6wgNtuiifDUR-UvZYgUfAe4,2019-12-5,1,D,1001213,4.0,211,60,150
ChIJg9y7y-iifDURJdiOwOYa1W4,2019-12-5,1,D,1001213,4.1,159,60,150
ChIJuwSn6eiifDURJl6QuQ1wVTo,2019-12-5,1,D,1001213,4.0,469,60,150
ChIJQRWFw9yifDURUlelSZv68mM,2019-12-5,1,D,1001213,4.2,1443,60,60
ChIJedDgSumifDURnOlaQDnoZMs,2019-12-5,1,D,1001214,4.2,5072,45,45
ChIJU0z82eyifDUR1AoQ7xHjmcg,2019-12-5,1,D,1001215,4.0,7,0,0
ChIJS8EhouKefDURRjk3s-98OSA,2019-12-5,1,D,1001121,4.9,15,60,120
ChIJb4NIkuikfDURjKDyl7ZyI3M,2019-12-5,1,D,1001161,3.9,2224,30,90
ChIJ45WEZ_-lfDUR_GuuKGidH6U,2019-12-5,1,D,1001161,3.9,2224,30,90
ChIJyf4tjOikfDURT96LHyldoIA,2019-12-5,1,D,1001161,3.9,2224,30,90
ChIJq1kJIuakfDURMJjijr6zAUI,2019-12-5,1,D,1001161,3.9,2224,30,90
ChIJb4NIkuikfDURNTWhVvNquC4,2019-12-5,1,D,1001161,3.9,2224,30,90
ChIJb4NIkuikfDURVM_i9a9q030,2019-12-5,1,D,1001161,3.9,2224,30,90
ChIJb4NIkuikfDURVThwt_w7Vqw,2019-12-5,1,D,1001161,3.9,2224,30,90
ChIJb4NIkuikfDURJP85NLm51WE,2019-12-5,1,D,1001161,3.9,2224,30,90
ChIJb4NIkuikfDURI2_htcIYHxU,2019-12-5,1,D,1001161,3.9,2224,30,90
ChIJb4NIkuikfDURlToR08lVOHE,2019-12-5,1,D,1001161,3.9,2224,30,90
ChIJRymNjuikfDURddGDxWw60pQ,2019-12-5,1,D,1001161,3.9,2224,30,90
ChIJMbwmE26cfDURIraIzP1vVNU,2019-12-5,1,D,1001194,4.0,3748,60,150
ChIJDWB-DW6cfDURrjylDga8_Dg,2019-12-5,1,D,1001194,4.0,3748,60,150
ChIJ3W-aEm6cfDURJJkfulObOyg,2019-12-5,1,D,1001194,3.9,76,20,45
ChIJDWB-DW6cfDURujKueLymiow,2019-12-5,1,D,1001194,4.0,3748,60,150
ChIJnRZwpGuifDURxHhLtQ0Q9gI,2019-12-5,1,D,1001168,3.6,192,25,60
ChIJE9QNSGuifDURgb4Zb20YhGY,2019-12-5,1,D,1001168,4.0,217,0,0
ChIJDzO0vmuifDUR938qPn5tRaU,2019-12-5,1,D,1001168,3.9,330,0,0
ChIJY1PuFWuifDURXoEfXJ3CV-k,2019-12-5,1,D,1001168,3.8,184,25,25
ChIJ-RPyEWuifDUR6xuvD-mhFGQ,2019-12-5,1,D,1001168,3.7,65,60,120
ChIJJ8uefEiifDURXqk469WCXt0,2019-12-5,1,D,1001169,4.2,84,0,0
ChIJ355Ye0iifDURZiz_N-RuV1E,2019-12-5,1,D,1001169,4.1,7,0,0
ChIJ-WQr5DmjfDUR9lRdMDBwt-A,2019-12-5,1,D,1001220,3.9,546,30,60
ChIJOYJ1WjqjfDURpD-7EAe8gWU,2019-12-5,1,D,1001220,3.7,62,10,10
ChIJA7WocJGifDURiNzw-6T1A1o,2019-12-5,1,D,1001223,4.2,6,0,0
