상권_구분_코드,상권_코드,상권_코드_명,keyword
A,1000969,고덕로25길,고덕로25길
A,1000970,고덕로61길,고덕로61길
A,1000971,구천면로36길,구천면로36길
A,1000972,구천면로41길,구천면로41길
A,1000973,구천면로42길,구천면로42길
A,1000718,신길로60길,신길로60길
A,1000719,양평로19길,양평로19길
A,1000720,양평로22라길,양평로22라길
A,1000721,양평로28길,양평로28길
A,1000722,여의대방로35길,여의대방로35길
A,1000723,여의대방로39길,여의대방로39길
A,1000476,망원로2길,망원로2길
A,1000477,매봉산로2길,매봉산로2길
A,1000880,효령로23길,효령로23길
A,1000881,효령로31길,효령로31길
A,1000882,효령로34길,효령로34길
A,1000883,효령로72길,효령로72길
A,1000884,방배중앙로21길,방배중앙로21길
A,1000879,청두곶길,청두곶길
A,1000885,서초중앙로8길,서초중앙로8길
A,1000704,도신로29길,도신로29길
A,1000510,곰달래로3길,곰달래로3길
A,1000999,진황도로27길,진황도로27길
A,1000681,시흥대로84길,시흥대로84길
A,1000682,시흥대로94길,시흥대로94길
A,1000895,논현로10길,논현로10길
A,1000896,논현로115길,논현로115길
A,1000897,논현로123길,논현로123길
A,1000473,마포대로4길,마포대로4길
A,1000474,만리재옛길,만리재옛길
A,1000475,망원로11길,망원로11길
A,1000786,구암길,구암길
A,1000904,도곡로37길,도곡로37길
A,1000905,도산대로15길,도산대로15길
A,1000598,우장산로6길,우장산로6길
A,1000599,월정로20길,월정로20길
A,1000600,초록마을로3길,초록마을로3길
A,1000601,초록마을로8길,초록마을로8길
A,1000602,초원로16길,초원로16길
A,1000703,도신로15길,도신로15길
A,1000580,공항대로8길,공항대로8길
A,1000641,도림로6길,도림로6길
A,1000669,범안로17길,범안로17길
A,1000670,벚꽃로56길,벚꽃로56길
A,1000671,시흥대로120길,시흥대로120길
A,1000672,시흥대로138길,시흥대로138길
A,1000673,시흥대로141길,시흥대로141길
A,1000667,문성로5길,문성로5길
A,1000668,범안로11길,범안로11길
A,1000800,남부순환로248길,남부순환로248길
A,1000920,삼성로63길,삼성로63길
A,1000438,모래내로15길,모래내로15길
A,1000439,북아현로4길,북아현로4길
A,1000440,세검정로1길,세검정로1길
A,1000441,세무서2길,세무서2길
A,1000906,도산대로23길,도산대로23길
A,1000907,도산대로30길,도산대로30길
A,1000908,도산대로38길,도산대로38길
A,1000909,도산대로50길,도산대로50길
A,1000910,도산대로81길,도산대로81길
A,1000853,동광로12길,동광로12길
A,1000891,개포로28길,개포로28길
A,1000892,개포로82길,개포로82길
A,1000965,오금로46길,오금로46길
A,1000966,풍성로25길,풍성로25길
A,1000443,수색로8길,수색로8길
A,1000444,신촌로37길,신촌로37길
A,1000445,연희로10길,연희로10길
A,1000446,응암로1길,응암로1길
A,1000447,증가로10길,증가로10길
A,1000898,논현로139길,논현로139길
A,1000666,독산로85길,독산로85길
A,1000544,중앙로36길,중앙로36길
A,1000545,중앙로45길,중앙로45길
A,1000546,중앙로47길,중앙로47길
A,1000547,중앙로51길,중앙로51길
A,1000548,중앙로55길,중앙로55길
A,1000470,동교로38길,동교로38길
A,1000435,가재울로6길,가재울로6길
A,1000436,독립문로8길,독립문로8길
A,1000437,명지대길,명지대길
A,1000975,동남로82길,동남로82길
A,1000976,동남로85길,동남로85길
A,1000977,명일로13길,명일로13길
A,1000893,남부순환로365길,남부순환로365길
A,1000570,곰달래로31길,곰달래로31길
A,1000571,곰달래로47길,곰달래로47길
A,1000572,곰달래로53길,곰달래로53길
A,1000573,곰달래로60길,곰달래로60길
A,1000611,개봉로17다길,개봉로17다길
A,1000612,개봉로1길,개봉로1길
A,1000699,도림로112길,도림로112길
A,1000894,논현로106길,논현로106길
A,1000700,도림로147길,도림로147길
A,1000701,도림로63길,도림로63길
A,1000702,도림천로21길,도림천로21길
A,1000793,난우길,난우길
A,1000984,성안로3길,성안로3길
A,1000845,강남대로34길,강남대로34길
A,1000517,남부순환로88길,남부순환로88길
A,1000899,논현로159길,논현로159길
A,1000900,논현로26길,논현로26길
A,1000901,논현로28길,논현로28길
A,1000902,논현로63길,논현로63길
A,1000903,논현로8길,논현로8길
A,1000578,공항대로59다길,공항대로59다길
A,1000579,공항대로61길,공항대로61길
A,1000967,강동대로53길,강동대로53길
A,1000194,이문로42길,이문로42길
A,1000256,용마산로100길,용마산로100길
