상권_구분_코드,상권_코드,상권_코드_명,상권_구분_코드_명,x,y,x1,y1,WGS84_x,WGS84_y,WGS84_x1,WGS84_y1
R,1001446,성대시장,전통시장,193911.79999999702,444421.819999993,193947.539999999,444543.639999993,126.9311494803347,37.49923837680615,126.93155265636592,37.500336216594214
R,1001375,증산종합시장,전통시장,191694.66999999402,453613.60999999905,191599.269999996,453579.589999996,126.90597238014989,37.58203901095295,126.904892713811,37.58173162809445
R,1001376,수일시장,전통시장,190801.04999999702,453712.989999995,190674.289999999,453760.829999998,126.89585415486394,37.582925924608205,126.89441843593534,37.58335568423894
R,1001460,관악신사시장,전통시장,192637.889999993,443148.569999993,192595.96999999898,442929.049999997,126.91675577377696,37.48775704099653,126.91628398709864,37.48577881510396
R,1001461,신림종합시장,전통시장,192679.959999993,442835.18999999797,192645.269999996,442785.819999993,126.91723457868441,37.484933798618094,126.91684284302187,37.484488695795775
R,1001462,강남골목시장,전통시장,191610.289999999,442523.95999999304,191516.71999999898,442607.27999999403,126.9051437112844,37.48212050190618,126.90408482573369,37.48287036731344
R,1001463,신림중앙시장,전통시장,192180.229999997,442693.139999993,192087.889999993,442604.339999996,126.91158580080247,37.48364982430715,126.91054271403628,37.482848943683685
R,1001464,삼성동시장,전통시장,194076.589999996,441361.319999993,194023.149999999,441246.18999999797,126.93303768022642,37.471664106571154,126.93243449163047,37.47062642996776
R,1001465,신신림시장,전통시장,194036.75,441281.14999999903,193934.66999999402,441225.61999999697,126.93258795032845,37.470941510860236,126.93143443633664,37.47044051606224
R,1001466,미성동도깨비시장,전통시장,192645.11999999703,441723.839999996,192559.519999996,441583.309999995,126.91685174996697,37.474920166896844,126.9158854464359,37.473653293891026
R,1001467,우림시장,전통시장,192912.199999996,441266.34999999404,192994.18,441168.64999999903,126.91987553525112,37.470800225167835,126.92080321104096,37.46992056336838
R,1001437,영진시장A동,전통시장,192602.379999995,444554.239999995,192484.209999993,444537.739999995,126.9163401325329,37.50042192939,126.915003914931,37.50027230958013
R,1001438,우리시장,전통시장,191574.779999994,444227.829999998,191591.91999999402,444105.259999998,126.9047227292726,37.49747215728085,126.90491795826435,37.496367951185526
R,1001439,대림중앙시장,전통시장,191116.459999993,443484.18999999797,191018.839999996,443436.89999999903,126.89954876231997,37.49076762518145,126.89844549591272,37.4903405956698
R,1001417,구로시장,전통시장,189889.069999993,443261.659999996,189812.159999996,443343.84999999404,126.8856730453245,37.48875000109459,126.88480226805314,37.48948969315867
R,1001418,남구로시장,전통시장,190063.849999994,443477.269999996,189928.079999998,443342.949999996,126.88764641579671,37.49069455593081,126.88611302894304,37.48948285489395
R,1001419,가리봉시장,전통시장,190295.41999999402,442546.199999996,190122.96999999898,442443.739999995,126.89027717220743,37.482308015563135,126.88832877920659,37.48138301684564
R,1001420,고척근린시장,전통시장,186825.489999995,444807.639999993,186728.71999999898,444674.049999997,126.85100476186236,37.50264073904015,126.84991276815144,37.5014357040892
R,1001421,개봉중앙시장,전통시장,187090.599999994,443743.239999995,187057.739999995,443562.259999998,126.85402164608278,37.49305420110682,126.8536532508011,37.491423103687445
R,1001422,오류시장,전통시장,186071.819999993,444221.25,186164.029999994,444060.28999999905,126.8424923655279,37.49734629116325,126.84353814980012,37.495897421981354
R,1001476,풍납시장,전통시장,210562.43,448789.68,210530.899999999,448585.39999999903,127.11951156996861,37.53855252543695,127.11915188701019,37.536712326378634
