"골목상권 번호","골목상권 명","엑스좌표 값","와이좌표 값","시군구 코드","행정동 코드","기준 년월 코드"
"12878","당산로37길","190953","447835","11560","11560560","201506"
"12879","독서당로_E","200501","448020","11170","11170685","201506"
"12881","월정로_C","185858","447742","11500","11500540","201506"
"12883","압구정로29길_B","202386","448056","11680","11680545","201506"
"12884","강서로5나길","186477","447686","11500","11500540","201506"
"12885","자양로5길","207475","447960","11215","11215830","201506"
"12887","뚝섬로_B","207188","447956","11215","11215830","201506"
"12945","버드나루로_A","192129","446828","11560","11560535","201506"
"12946","삼성로_B","204336","446960","11680","11680565","201506"
"13182","백제고분로34길","208693","444651","11710","11710600","201506"
"13183","백제고분로_J","208498","444691","11710","11710610","201506"
"13184","송이로17길","211112","444590","11710","11710620","201506"
"13185","구로중앙로14길","190440","443769","11530","11530550","201506"
"13186","개봉로17길","187125","443664","11530","11530750","201506"
"13187","동남로18길_A","211669","443885","11710","11710632","201506"
"13188","오금로_A","212603","443916","11710","11710531","201506"
"13189","부일로15길","185322","443814","11530","11530790","201506"
"13190","언주로_D","203952","443973","11680","11680650","201506"
"13192","오금로46길_A","211868","443899","11710","11710632","201506"
"13194","도곡로_C","203701","443823","11680","11680650","201506"
"13195","도림로_B","190893","443614","11560","11560710","201506"
"13420","마방로6길","203758","441713","11650","11650652","201506"
"13421","난곡로_F","192531","441832","11620","11620765","201506"
"13422","남부순환로248길","196993","441585","11620","11620625","201506"
"13423","난곡로_G","192891","441480","11620","11620775","201506"
"13424","시흥대로148길","191284","441671","11545","11545630","201506"
"13437","남부순환로_Q","198108","441818","11620","11620630","201506"
"13438","남현길","197911","441817","11620","11620630","201506"
"13500","금하로_C","191056","439541","11545","11545670","201506"
"13503","시흥대로_M","191551","438116","11545","11545690","201506"
"13505","화랑로11길","203665","455963","11290","11290725","201506"
"13506","화곡로_L","185536","449141","11500","11500560","201506"
"13578","아차산로_H","207237","448550","11215","11215820","201506"
"12215","통일로_E","195136","454182","11410","11410620","201506"
"13606","통일로_N","193287","457553","11380","11380530","201506"
"13608","양재천로19길","203343","441878","11650","11650651","201506"
"13609","돌곶이로","205227","456722","11290","11290810","201506"
"13610","다산로_G","201056","450689","11140","11140645","201506"
"13611","방배로_F","199943","442330","11650","11650620","201506"
"13613","백제고분로42길","209795","445046","11710","11710580","201506"
"13614","백제고분로39길","209206","445231","11710","11710600","201506"
"13012","백제고분로46길_A","209946","445458","11710","11710580","201506"
"13508","동숭길","200441","453528","11110","11110640","201506"
"13509","거북골로_C","193307","453218","11410","11410700","201506"
"13510","신촌로_E","195346","450848","11410","11410585","201506"
"13512","조원로_B","192578","442920","11620","11620685","201506"
"13513","동일로217가길","205181","461536","11350","11350695","201506"
"13514","영동대로112길","205436","446205","11680","11680580","201506"
"13515","효령로_C","202418","443106","11650","11650520","201506"
"13568","천중로","212684","449125","11740","11740685","201506"
"13572","논현로18길","204155","442010","11680","11680690","201506"
"13615","응암로13길_B","192626","454464","11380","11380600","201506"
"13617","능동로13길","206150","449448","11215","11215710","201506"
"13028","봉은사로_B","204429","445964","11680","11680590","201506"
"13029","올림픽로32길","209909","446008","11710","11710562","201506"
"13034","목동남로4길_A","188185","445549","11470","11470680","201506"
"13035","만양로","195230","445741","11590","11590510","201506"
"13036","목동남로4길_B","188102","445449","11470","11470680","201506"
"13025","봉은사로68길","204636","445588","11680","11680590","201506"
"13362","쑥고개로_A","195412","442249","11620","11620595","201506"
"13267","동남로6길_A","211023","443392","11710","11710641","201506"
"13268","보라매로_C","193659","443412","11620","11620525","201506"
"13269","동작대로29나길","198338","443343","11590","11590630","201506"
"13270","일원로","207270","443375","11680","11680730","201506"
"13272","시흥대로_B","191858","443348","11590","11590670","201506"
"13273","동광로_A","199054","443558","11650","11650621","201506"
"13274","오금로_C","212991","443791","11710","11710532","201506"
"13275","시흥대로_C","191836","443568","11560","11560700","201506"
"13276","당곡길","193687","443530","11620","11620525","201506"
"13277","일원로3길","207298","443518","11680","11680730","201506"
"13278","구로동로_D","189696","443442","11530","11530530","201506"
"13431","관악로14길","196080","442091","11620","11620585","201506"
"13432","동작대로7길","198158","442181","11590","11590620","201506"
"13435","양재천로","203521","441986","11650","11650651","201506"
"13619","방학로_B","202845","462555","11320","11320700","201506"
"13620","동일로22길","205790","449240","11215","11215710","201506"
"13622","서초중앙로22길","201731","443880","11650","11650510","201506"
"13624","곰달래로13길_C","185382","448267","11470","11470560","201506"
"13626","구로중앙로_B","190196","443826","11530","11530530","201506"
"13629","중앙로_F","186936","446635","11470","11470640","201506"
"13091","공원로8길","190358","444843","11530","11530560","201506"
"13094","백제고분로18길","207405","445002","11710","11710650","201506"
"13095","백제고분로41길_B","209613","445368","11710","11710580","201506"
"13099","석촌호수로_F","208369","445161","11710","11710610","201506"
"13100","백제고분로_H","207242","445067","11710","11710650","201506"
"13101","백제고분로46길_B","210124","445384","11710","11710580","201506"
"13103","가락로28길","210362","445260","11710","11710590","201506"
"13104","마천로_A","211406","445245","11710","11710570","201506"
"13105","여의대방로_B","193223","444991","11590","11590660","201506"
"13107","석촌호수로_H","209026","445202","11710","11710600","201506"
"13108","논현로_C","203162","445125","11680","11680640","201506"
"13109","백제고분로_I","207047","445110","11710","11710650","201506"
"13348","개봉로3길_C","187209","442957","11530","11530760","201506"
"13351","동남로6길_B","211126","443251","11710","11710641","201506"
"13353","개봉로11길","187147","443143","11530","11530760","201506"
"13354","방배로27길","199118","443285","11650","11650621","201506"
"13355","바우뫼로37길","203416","442344","11650","11650651","201506"
"13357","새말로8길","211197","442405","11710","11710646","201506"
"13359","남부순환로_E","196347","442245","11620","11620575","201506"
"13360","남부순환로_F","191669","442223","11545","11545630","201506"
"13361","바우뫼로_A","203722","442281","11650","11650651","201506"
"13573","송이로_C","210729","444267","11710","11710620","201506"
"13577","개운사길_B","202622","454267","11290","11290600","201506"
"13425","시흥대로138길","191084","441462","11545","11545630","201506"
"13426","난곡로_H","192722","441542","11620","11620775","201506"
"13427","법원단지길","192875","441602","11620","11620775","201506"
"13428","가산로3길","190463","441374","11545","11545610","201506"
"13429","인헌길","197117","441741","11620","11620625","201506"
"13430","낙성대역길","196670","441809","11620","11620625","201506"
"13635","곰달래로_E","187649","448227","11500","11500570","201506"
"13638","백제고분로48길","210181","445613","11710","11710562","201506"
"13639","백제고분로_L","210222","445993","11710","11710562","201506"
"13640","백제고분로50길","210467","445901","11710","11710562","201506"
"13110","장승배기로10길","194741","444963","11590","11590540","201506"
"13027","언주로125길","203008","445856","11680","11680531","201506"
"13149","역삼로_C","203719","444319","11680","11680650","201506"
"13152","삼성로64길","205705","444761","11680","11680610","201506"
"13153","오금로36길_B","210974","444696","11710","11710620","201506"
"13154","백제고분로32길","208400","444601","11710","11710610","201506"
"13155","사평대로","199919","444456","11650","11650581","201506"
"13156","송파대로37길","209544","444585","11710","11710600","201506"
"13157","성대로1길","194112","444527","11590","11590560","201506"
"13158","경서로","187245","444323","11530","11530740","201506"
"13159","대림로_C","190937","444302","11560","11560720","201506"
"13160","백제고분로22길","207738","444689","11710","11710610","201506"
"13395","반포대로_C","200997","442543","11650","11650530","201506"
"13396","사당로16길_A","197685","442604","11590","11590650","201506"
"13401","봉천로_C","194872","442698","11620","11620605","201506"
"13403","남부순환로161가길","192639","442737","11620","11620685","201506"
"13404","사당로16가길_B","197569","442670","11590","11590650","201506"
"13407","사당로_E","197925","442732","11590","11590640","201506"
"12915","영등포로_B","191099","446884","11560","11560550","201506"
"13373","쑥고개로11길","194805","442447","11620","11620595","201506"
"13375","조원로2길","191561","442502","11620","11620725","201506"
"13376","사당로30길","198286","442608","11590","11590620","201506"
"13377","조원중앙로2길","192022","442564","11620","11620725","201506"
"13378","송이로36길","211233","442707","11710","11710646","201506"
"13379","방배천로16길","198541","442501","11650","11650610","201506"
"13641","가락로_F","210661","445821","11710","11710561","201506"
"13642","양재대로71길","211099","445810","11710","11710561","201506"
"13643","위례성대로18길","211039","445614","11710","11710561","201506"
"13026","논현로_A","203023","445646","11680","11680531","201506"
"13076","백제고분로15길","207557","445321","11710","11710650","201506"
"13078","오금로31길_B","210650","445274","11710","11710561","201506"
"13079","서달로10길","196640","445155","11590","11590605","201506"
"13081","석촌호수로_C","208214","445168","11710","11710610","201506"
"13082","오금로31길_C","210803","445351","11710","11710561","201506"
"13083","경인로47길_C","187902","444892","11530","11530720","201506"
"13084","삼학사로_A","208504","445094","11710","11710610","201506"
"13086","신길로_B","192004","445210","11560","11560650","201506"
"13087","상도로_F","194515","445083","11590","11590540","201506"
"12891","영신로40길","191426","446955","11560","11560535","201506"
"12892","중앙로32길_A","187754","446842","11470","11470620","201506"
"13132","보라매로_B","193711","444228","11590","11590680","201506"
"13133","상도로37길","195806","444316","11590","11590530","201506"
"13134","상도로_K","195748","444459","11590","11590530","201506"
"13137","구로동로_A","189672","444345","11530","11530530","201506"
"13139","여의대방로24길","193067","444380","11590","11590660","201506"
"13140","대림로_B","191085","444381","11560","11560720","201506"
"13145","가락로_E","209189","444596","11710","11710600","201506"
"13146","여의대방로22길","193316","444356","11590","11590660","201506"
"13147","거마로_A","213082","444384","11710","11710550","201506"
"13380","시흥대로_E","191280","442436","11620","11620725","201506"
"13381","서부샛길","189056","442526","11545","11545510","201506"
"13382","논현로26길","203957","442624","11680","11680656","201506"
"13383","논현로_D","203655","442679","11650","11650651","201506"
"13384","남부순환로_K","192510","442551","11620","11620685","201506"
"13385","강남대로30길","203468","442542","11650","11650651","201506"
"13386","선릉로_D","205404","442696","11680","11680670","201506"
"13387","디지털로_B","190247","442389","11530","11530595","201506"
"13389","신원로3길","193459","442574","11620","11620655","201506"
"13390","난곡로_D","192315","442691","11620","11620725","201506"
"13391","새말로17길","211543","442935","11710","11710646","201506"
"12893","목동동로10길","188603","446622","11470","11470630","201506"
"12896","강남대로107길","201592","446592","11650","11650540","201506"
"12899","영등포로18길","190348","446889","11560","11560610","201506"
"12900","이촌로75길","197758","446766","11170","11170630","201506"
"12901","신월로_A","186029","446658","11470","11470590","201506"
"12902","중앙로32길_B","187547","446721","11470","11470620","201506"
"12903","영등포로_A","190875","446915","11560","11560550","201506"
"12904","삼성로_A","204222","446962","11680","11680565","201506"
"12906","압구정로4길","201760","446869","11680","11680510","201506"
"12908","신월로_B","186160","446563","11470","11470610","201506"
"12909","중앙로_A","187026","446777","11470","11470640","201506"
"12911","중앙로_B","186880","446817","11470","11470640","201506"
"13148","오금로36길_A","210787","444408","11710","11710620","201506"
"12917","중앙로32길_C","187652","446752","11470","11470620","201506"
"12919","학동로_A","205163","446960","11680","11680565","201506"
"12924","지양로_A","185433","446886","11470","11470611","201506"
"12925","영등포로25길","191104","447025","11560","11560550","201506"
"12926","영등포로_C","190151","447076","11560","11560610","201506"
"12929","영중로24길","191851","446919","11560","11560535","201506"
"12930","당산로_B","190862","447057","11560","11560550","201506"
"13162","상도로_L","195583","444732","11590","11590530","201506"
"13163","서초중앙로29길","200908","444478","11650","11650581","201506"
"12994","언주로147길","202803","446652","11680","11680531","201506"
"12995","삼성로_D","204437","446765","11680","11680565","201506"
"12996","선릉로_B","203419","446629","11680","11680531","201506"
"12998","중앙로_E","187014","446455","11470","11470640","201506"
"12999","올림픽로33길","209382","446500","11710","11710690","201506"
"13237","방배중앙로25길","198613","443823","11650","11650590","201506"
"13238","남부순환로97길","187465","443864","11530","11530750","201506"
"13239","마천로45길","213338","444397","11710","11710550","201506"
"13257","봉천로_A","193836","443279","11620","11620525","201506"
"13259","언주로30길_B","204724","443254","11680","11680656","201506"
"13260","방배로_B","199398","443366","11650","11650621","201506"
"13261","구로동로_C","189901","443161","11530","11530550","201506"
"13264","일원로9길","207449","443424","11680","11680730","201506"
"13265","대림로_F","191422","443370","11560","11560710","201506"
"13439","신림로_A","194440","441750","11620","11620665","201506"
"13440","방배로_E","200044","442068","11650","11650620","201506"
"13483","호암로26길","194354","441219","11620","11620735","201506"
"13484","독산로_D","191559","439900","11545","11545670","201506"
"13486","독산로39길","191401","439825","11545","11545670","201506"
"13487","시흥대로62길","191356","439675","11545","11545670","201506"
"13488","독산로_E","191654","440011","11545","11545700","201506"
"13489","독산로_F","191320","440551","11545","11545620","201506"
"13168","역삼로_D","204887","444612","11680","11680630","201506"
"13169","언주로_C","203645","444487","11680","11680650","201506"
"13170","신반포로_C","198756","444715","11650","11650550","201506"
"13171","삼성로_F","205324","444643","11680","11680610","201506"
"13173","신반포로3길","198836","444747","11650","11650550","201506"
"13174","백제고분로40길","209407","444852","11710","11710600","201506"
"13175","중앙로6길","188096","444474","11530","11530720","201506"
"13176","공원로","190229","444579","11530","11530560","201506"
"13410","남부순환로_O","203462","442778","11650","11650651","201506"
"13411","반포대로_D","201162","442590","11650","11650530","201506"
"13413","조원로16길","192168","442562","11620","11620725","201506"
"13539","동남로_F","210829","443252","11710","11710641","201506"
"13540","논현로5길","204276","441463","11650","11650652","201506"
"13541","긴고랑로11길","207227","451627","11215","11215740","201506"
"13542","상일로_D","215190","449810","11740","11740520","201506"
"13543","한글비석로24길","206343","462524","11350","11350670","201506"
"13544","고척로30길","186684","444653","11530","11530740","201506"
"13545","성수일로","204231","449651","11200","11200660","201506"
"12933","버드나루로7길","192030","447040","11560","11560535","201506"
"12934","목동동로12길_A","188846","447002","11470","11470630","201506"
"12935","지양로_B","185205","446908","11470","11470611","201506"
"12936","목동동로12길_B","188881","447105","11470","11470510","201506"
"12937","지양로_C","185292","447127","11470","11470611","201506"
"12938","영등포로_D","190001","447190","11560","11560610","201506"
"12939","양재대로81길","211534","447183","11740","11740660","201506"
"12941","성안로_E","211374","447277","11740","11740640","201506"
"12943","신월로_E","187337","446964","11470","11470650","201506"
"13177","가마산로_A","191077","444565","11560","11560720","201506"
"13180","삼학사로_B","208508","444875","11710","11710610","201506"
"13328","개봉로3길_A","187032","443066","11530","11530760","201506"
"13329","개봉로3길_B","187054","442865","11530","11530760","201506"
"13330","동남로4길_A","211065","443075","11710","11710641","201506"
"12056","덕릉로_E","203443","460087","11320","11320512","201506"
"12058","석계로_A","205356","458033","11350","11350560","201506"
"12350","종로_C","201713","452829","11110","11110710","201506"
"12351","방화동로_B","183510","452281","11500","11500630","201506"
"12352","답십리로_B","206591","452551","11230","11230660","201506"
